"Date","Value"
"01/31/2005",1181.27
"02/28/2005",1203.6
"03/31/2005",1180.59
"04/29/2005",1156.85
"05/31/2005",1191.5
"06/30/2005",1191.33
"07/29/2005",1234.18
"08/31/2005",1220.33
"09/30/2005",1228.81
"10/31/2005",1207.01
"11/30/2005",1249.48
"12/30/2005",1248.29
"01/31/2006",1280.08
"02/28/2006",1280.66
"03/31/2006",1294.87
"04/28/2006",1310.61
"05/31/2006",1270.09
"06/30/2006",1270.2
"07/31/2006",1276.66
"08/31/2006",1303.82
"09/29/2006",1335.85
"10/31/2006",1377.94
"11/30/2006",1400.63
"12/29/2006",1418.3
"01/31/2007",1438.24
"02/28/2007",1406.82
"03/30/2007",1420.86
"04/30/2007",1482.37
"05/31/2007",1530.62
"06/29/2007",1503.35
"07/31/2007",1455.27
"08/31/2007",1473.99
"09/28/2007",1526.75
"10/31/2007",1549.38
"11/30/2007",1481.14
"12/31/2007",1468.36
"01/31/2008",1378.55
"02/29/2008",1330.63
"03/31/2008",1322.7
"04/30/2008",1385.59
"05/30/2008",1400.38
"06/30/2008",1280
"07/31/2008",1267.38
"08/29/2008",1282.83
"09/30/2008",1166.36
"10/31/2008",968.75
"11/28/2008",896.24
"12/31/2008",903.25
"01/30/2009",825.88
"02/27/2009",735.09
"03/31/2009",797.87
"04/30/2009",872.81
"05/29/2009",919.14
"06/30/2009",919.32
"07/31/2009",987.48
"08/31/2009",1020.62
"09/30/2009",1057.08
"10/30/2009",1036.19
"11/30/2009",1095.63
"12/31/2009",1115.1
"01/29/2010",1073.87
"02/26/2010",1104.49
"03/31/2010",1169.43
"04/30/2010",1186.69
"05/28/2010",1089.41
"06/30/2010",1030.71
"07/30/2010",1101.6
"08/31/2010",1049.33
"09/30/2010",1141.2
"10/29/2010",1183.26
"11/30/2010",1180.55
"12/31/2010",1257.64
"01/31/2011",1286.12
"02/28/2011",1327.22
"03/31/2011",1325.83
"04/29/2011",1363.61
"05/31/2011",1345.2
"06/30/2011",1320.64
"07/29/2011",1292.28
"08/31/2011",1218.89
"09/30/2011",1131.42
"10/31/2011",1253.3
"11/30/2011",1246.96
"12/30/2011",1257.6
"01/31/2012",1312.41
"02/29/2012",1365.68
"03/30/2012",1408.47
"04/30/2012",1397.91
"05/31/2012",1310.33
"06/29/2012",1362.16
"07/31/2012",1379.32
"08/31/2012",1406.58
"09/28/2012",1440.67
"10/31/2012",1412.16
"11/30/2012",1416.18
"12/31/2012",1426.19
"01/31/2013",1498.11
"02/28/2013",1514.68
"03/28/2013",1569.19
"04/30/2013",1597.57
"05/31/2013",1630.74
"06/28/2013",1606.28
"07/31/2013",1685.73
"08/30/2013",1632.97
"09/30/2013",1681.55
"10/31/2013",1756.54
"11/29/2013",1805.81
"12/31/2013",1848.36